servo,pw,theta_true
0,2430,2.0
0,2380,5.0
0,2330,9.0
0,2280,11.0
0,2230,21.0
0,2180,26.0
0,2130,31.0
0,2080,36.0
0,2030,41.0
0,1980,45.0
0,1930,52.0
0,1880,57.0
0,1830,62.0
0,1780,66.0
0,1730,68.0
0,1680,73.0
0,1630,80.0
0,1580,83.0
0,1530,87.0
0,1480,93.0
0,1430,96.0
0,1380,102.0
0,1330,106.0
0,1280,109.0
0,1230,116.0
0,1180,119.0
1,620,2.0
1,670,6.0
1,720,11.0
1,770,14.0
1,820,22.0
1,870,23.0
1,920,29.0
1,970,34.0
1,1020,39.0
1,1070,43.0
1,1120,48.0
1,1170,56.0
1,1220,60.0
1,1270,65.0
1,1320,70.0
1,1370,75.0
1,1420,80.0
1,1470,85.0
1,1520,91.0
1,1570,96.0
1,1620,100.0
1,1670,104.0
1,1720,110.0
1,1770,113.0
1,1820,118.0
2,1680,-35.0
2,1630,-30.0
2,1580,-20.0
2,1530,-15.0
2,1480,-12.0
2,1430,-5.0
2,1380,0.0
2,1330,5.0
2,1280,12.0
2,1230,18.0
2,1180,25.0
2,1130,30.0
2,1780,-33.0
2,1730,-30.0
2,1680,-26.0
2,1630,-22.0
2,1580,-16.0
2,1530,-10.0
2,1480,-7.0
2,1430,-6.0
